"pop","month","year","lon","lat","cum_rain","mean_max_temp"
"Bujeo",1,2015,-5.52654,36.072461,20.0773732261217,15.6264902422506
"Bujeo",1,2016,-5.52654,36.072461,23.6417578346966,16.4774807837702
"Bujeo",1,2017,-5.52654,36.072461,18.5802255076907,14.6501561318674
"Bujeo",1,2018,-5.52654,36.072461,3.39523548130656,16.4220835039693
"Bujeo",1,2019,-5.52654,36.072461,57.3680419571487,14.6225298481603
"Bujeo",1,2020,-5.52654,36.072461,10.4912556114923,17.7293689358619
"Bujeo",1,2021,-5.52654,36.072461,3.69924235510394,19.1317146547379
"Bujeo",1,2022,-5.52654,36.072461,73.5375750292707,15.1116872479839
"Bujeo",1,2023,-5.52654,36.072461,30.4314903405496,15.9481691422001
"Bujeo",1,2024,-5.52654,36.072461,5.54207235196563,18.9743640530494
"Bujeo",1,2025,-5.52654,36.072461,10.4359957954583,17.8763721096901
"Bujeo",1,2026,-5.52654,36.072461,6.82886393905825,16.9747873613912
"Bujeo",1,2027,-5.52654,36.072461,11.3552515641244,15.5617772256174
"Bujeo",1,2028,-5.52654,36.072461,3.76371062723768,16.5506117297757
"Bujeo",1,2029,-5.52654,36.072461,10.1148274708509,17.0786583685106
"Bujeo",1,2030,-5.52654,36.072461,2.30375724630114,16.3267652942288
"Bujeo",1,2031,-5.52654,36.072461,1.60227302030326,17.2548471758443
"Bujeo",1,2032,-5.52654,36.072461,3.69589844466367,16.4800275248866
"Bujeo",1,2033,-5.52654,36.072461,7.91351833626019,16.3290432837702
"Bujeo",1,2034,-5.52654,36.072461,2.37654581011573,17.5077404391381
"Bujeo",1,2035,-5.52654,36.072461,14.0989395339657,17.7310306672127
"Bujeo",1,2036,-5.52654,36.072461,22.19463007805,16.0951841292843
"Bujeo",1,2037,-5.52654,36.072461,4.22055542062366,17.5729850522933
"Bujeo",1,2038,-5.52654,36.072461,19.4670728128052,16.3549408943422
"Bujeo",1,2039,-5.52654,36.072461,41.762613653027,14.9890843545237
"Bujeo",1,2040,-5.52654,36.072461,14.8031324857216,17.5847353043095
"Bujeo",1,2041,-5.52654,36.072461,36.7700482546645,17.2113556892641
"Bujeo",1,2042,-5.52654,36.072461,27.4720914099246,17.1691853184854
"Bujeo",1,2043,-5.52654,36.072461,9.0826592059162,17.762839827999
"Bujeo",1,2044,-5.52654,36.072461,40.3193224609182,16.3901375063004
"Bujeo",1,2045,-5.52654,36.072461,60.8716293035525,15.1231648106729
"Bujeo",1,2046,-5.52654,36.072461,2.75903157417469,16.3798018916961
"Bujeo",1,2047,-5.52654,36.072461,7.29779309597149,17.2908490580897
"Bujeo",1,2048,-5.52654,36.072461,2.87169747425566,18.3736462008569
"Bujeo",1,2049,-5.52654,36.072461,2.4940837203296,17.4315183577999
"Bujeo",1,2050,-5.52654,36.072461,0.114734591537846,18.5002094884073
"Bujeo",1,2051,-5.52654,36.072461,61.0398146175,16.8912066059728
"Bujeo",1,2052,-5.52654,36.072461,52.3801941487398,17.0824819257182
"Bujeo",1,2053,-5.52654,36.072461,48.6186673519194,16.2421115013861
"Bujeo",1,2054,-5.52654,36.072461,6.8599280914083,17.3023157919607
"Bujeo",1,2055,-5.52654,36.072461,0.221456302517095,17.7748224073841
"Bujeo",1,2056,-5.52654,36.072461,42.39337030308,17.4557522681452
"Bujeo",1,2057,-5.52654,36.072461,29.4636358912516,17.9578067902596
"Bujeo",1,2058,-5.52654,36.072461,6.10992681700759,18.7433430333292
"Bujeo",1,2059,-5.52654,36.072461,13.4902447740016,16.7442260742188
"Bujeo",1,2060,-5.52654,36.072461,57.104255052623,16.075329983619
"Bujeo",1,2061,-5.52654,36.072461,48.9849097116433,16.7688537597656
"Bujeo",1,2062,-5.52654,36.072461,14.3341681940371,18.755269499748
"Bujeo",1,2063,-5.52654,36.072461,20.2800521903982,17.453026359312
"Bujeo",1,2064,-5.52654,36.072461,5.97184232389177,19.4174084078881
"Bujeo",1,2065,-5.52654,36.072461,9.01523061192346,17.44619140625
"Bujeo",1,2066,-5.52654,36.072461,27.1356964478421,18.6097744849421
"Bujeo",1,2067,-5.52654,36.072461,3.43405506256962,18.2318900815902
"Bujeo",1,2068,-5.52654,36.072461,3.24609041770205,17.8047571982107
"Bujeo",1,2069,-5.52654,36.072461,0.170396237279159,20.3638264317667
"Bujeo",1,2070,-5.52654,36.072461,25.3258192271872,16.2431678033644
