pop,month,year,lon,lat,cum_rain,mean_max_temp
Bujeo,1,2015,-5.52654,36.072461,20.13684922,11.25108367
Bujeo,1,2016,-5.52654,36.072461,13.93068103,11.84882261
Bujeo,1,2017,-5.52654,36.072461,48.88281681,10.91643677
Bujeo,1,2018,-5.52654,36.072461,80.05791651,10.41498964
Bujeo,1,2019,-5.52654,36.072461,178.1049801,9.985971562
Bujeo,1,2020,-5.52654,36.072461,13.89641784,12.29853653
Bujeo,1,2021,-5.52654,36.072461,50.21367823,13.14646547
Bujeo,1,2022,-5.52654,36.072461,45.57787633,12.1904984
Bujeo,1,2023,-5.52654,36.072461,4.864823183,12.51685043
Bujeo,1,2024,-5.52654,36.072461,55.77275882,10.62621362
Bujeo,1,2025,-5.52654,36.072461,42.87952717,11.28079204
Bujeo,1,2026,-5.52654,36.072461,8.477154518,12.99395929
Bujeo,1,2027,-5.52654,36.072461,16.62458699,13.66556456
Bujeo,1,2028,-5.52654,36.072461,2.935419628,12.04809551
Bujeo,1,2029,-5.52654,36.072461,17.62819358,11.1153464
Bujeo,1,2030,-5.52654,36.072461,13.53766389,10.44768578
Bujeo,1,2031,-5.52654,36.072461,24.23067279,12.16692111
Bujeo,1,2032,-5.52654,36.072461,161.9258162,9.609259624
Bujeo,1,2033,-5.52654,36.072461,18.69468735,14.65293914
Bujeo,1,2034,-5.52654,36.072461,38.87870564,9.895310728
Bujeo,1,2035,-5.52654,36.072461,11.8007877,12.90962839
Bujeo,1,2036,-5.52654,36.072461,12.64203091,13.66510089
Bujeo,1,2037,-5.52654,36.072461,25.59558387,11.66506052
Bujeo,1,2038,-5.52654,36.072461,6.427992975,8.797785408
Bujeo,1,2039,-5.52654,36.072461,34.12425327,12.17396083
Bujeo,1,2040,-5.52654,36.072461,77.78578818,12.54913999
Bujeo,1,2041,-5.52654,36.072461,3.218499207,12.35606611
Bujeo,1,2042,-5.52654,36.072461,35.62192113,14.76449073
Bujeo,1,2043,-5.52654,36.072461,5.535900082,13.95840631
Bujeo,1,2044,-5.52654,36.072461,21.69498263,11.61425663
Bujeo,1,2045,-5.52654,36.072461,10.4377398,9.889533061
Bujeo,1,2046,-5.52654,36.072461,14.79499337,12.06203515
Bujeo,1,2047,-5.52654,36.072461,37.11855154,13.66482426
Bujeo,1,2048,-5.52654,36.072461,22.70970292,11.82152808
Bujeo,1,2049,-5.52654,36.072461,16.49485153,11.538765
Bujeo,1,2050,-5.52654,36.072461,79.7274329,10.25243629
Bujeo,1,2051,-5.52654,36.072461,14.83720451,13.84525009
Bujeo,1,2052,-5.52654,36.072461,30.40454132,12.90980461
Bujeo,1,2053,-5.52654,36.072461,27.96340948,13.18778923
Bujeo,1,2054,-5.52654,36.072461,2.851990044,12.76258191
