"pop","month","year","lon","lat","cum_rain","mean_max_temp"
"Bujeo",1,2015,-5.52654,36.072461,207.676177497086,14.3532279722152
"Bujeo",1,2016,-5.52654,36.072461,2.58017158068021,13.0724475491432
"Bujeo",1,2017,-5.52654,36.072461,38.7260292825305,14.3169986847909
"Bujeo",1,2018,-5.52654,36.072461,40.9939791186594,14.8713386781754
"Bujeo",1,2019,-5.52654,36.072461,68.8052500601657,15.5524467222152
"Bujeo",1,2020,-5.52654,36.072461,6.56948596475719,15.1802385883947
"Bujeo",1,2021,-5.52654,36.072461,63.9442720941396,14.8145188854587
"Bujeo",1,2022,-5.52654,36.072461,112.901786461556,13.3752656013735
"Bujeo",1,2023,-5.52654,36.072461,110.466185295098,16.258441358997
"Bujeo",1,2024,-5.52654,36.072461,98.2708518463,15.735505922379
"Bujeo",1,2025,-5.52654,36.072461,193.860972714089,14.0250744235131
"Bujeo",1,2026,-5.52654,36.072461,133.901098373301,16.7663326140373
"Bujeo",1,2027,-5.52654,36.072461,150.505712281117,15.379548891129
"Bujeo",1,2028,-5.52654,36.072461,147.035928578682,15.4822336504537
"Bujeo",1,2029,-5.52654,36.072461,45.6396062644304,12.8792082755797
"Bujeo",1,2030,-5.52654,36.072461,220.727553913671,15.281140530494
"Bujeo",1,2031,-5.52654,36.072461,34.088763238242,15.9335965064265
"Bujeo",1,2032,-5.52654,36.072461,73.0305204907935,15.1654572517641
"Bujeo",1,2033,-5.52654,36.072461,67.0436064958593,13.7174798780872
"Bujeo",1,2034,-5.52654,36.072461,129.592719836684,15.1166015625
"Bujeo",1,2035,-5.52654,36.072461,38.1055340293237,15.1368041992188
"Bujeo",1,2036,-5.52654,36.072461,110.731889922225,15.7754563854587
"Bujeo",1,2037,-5.52654,36.072461,95.7055422579569,15.9293653918851
"Bujeo",1,2038,-5.52654,36.072461,121.491563563354,15.7118479082662
"Bujeo",1,2039,-5.52654,36.072461,362.407889530706,15.9674454227571
"Bujeo",1,2040,-5.52654,36.072461,217.345346727823,14.7112405100177
"Bujeo",1,2041,-5.52654,36.072461,150.926082296019,16.7487830377394
"Bujeo",1,2042,-5.52654,36.072461,93.2040546964541,14.0901447911417
"Bujeo",1,2043,-5.52654,36.072461,35.7039818051142,16.6396157541583
"Bujeo",1,2044,-5.52654,36.072461,140.440495038131,15.3928092710433
"Bujeo",1,2045,-5.52654,36.072461,14.1092408099441,11.9938638010333
"Bujeo",1,2046,-5.52654,36.072461,83.2326963442863,14.9183081842238
"Bujeo",1,2047,-5.52654,36.072461,45.471889452393,15.2745694068171
"Bujeo",1,2048,-5.52654,36.072461,30.1383074048398,14.6900101200227
"Bujeo",1,2049,-5.52654,36.072461,60.1980729858404,12.1173595797631
"Bujeo",1,2050,-5.52654,36.072461,237.348932509167,15.6918136104461
"Bujeo",1,2051,-5.52654,36.072461,48.9039285523209,13.689849656628
"Bujeo",1,2052,-5.52654,36.072461,7.81015940066774,15.7182930238786
"Bujeo",1,2053,-5.52654,36.072461,48.1809246416185,16.4950608776462
"Bujeo",1,2054,-5.52654,36.072461,146.453362577713,16.3880278556578
"Bujeo",1,2055,-5.52654,36.072461,54.2199308470006,13.1230850711946
"Bujeo",1,2056,-5.52654,36.072461,66.936478114534,13.9507414787047
"Bujeo",1,2057,-5.52654,36.072461,139.792437431896,15.9489133773312
