"pop","month","year","lon","lat","cum_rain","mean_max_temp"
"Bujeo",1,2015,-5.52654,36.072461,65.3301659865065,13.6767950242566
"Bujeo",1,2016,-5.52654,36.072461,59.9695077862634,17.0457131662677
"Bujeo",1,2017,-5.52654,36.072461,24.090451190682,16.4309680569557
"Bujeo",1,2018,-5.52654,36.072461,104.340355918339,15.5473394578503
"Bujeo",1,2019,-5.52654,36.072461,29.4000010144373,16.7783427576865
"Bujeo",1,2020,-5.52654,36.072461,46.746934666055,16.039697265625
"Bujeo",1,2021,-5.52654,36.072461,44.4642588468424,15.70349593624
"Bujeo",1,2022,-5.52654,36.072461,51.1422711532759,16.0544864777596
"Bujeo",1,2023,-5.52654,36.072461,162.518195371649,16.1952177970641
"Bujeo",1,2024,-5.52654,36.072461,145.690051839119,14.9280767625378
"Bujeo",1,2025,-5.52654,36.072461,15.8548040645996,17.6321281186996
"Bujeo",1,2026,-5.52654,36.072461,52.41315525559,17.0241588961694
"Bujeo",1,2027,-5.52654,36.072461,45.3633243115746,15.6223378827495
"Bujeo",1,2028,-5.52654,36.072461,69.5196970750203,15.0125287455897
"Bujeo",1,2029,-5.52654,36.072461,138.114354089157,16.6484796339466
"Bujeo",1,2030,-5.52654,36.072461,45.9246778220404,16.1868313697077
"Bujeo",1,2031,-5.52654,36.072461,68.650689995502,16.2858244865172
"Bujeo",1,2032,-5.52654,36.072461,136.030692394797,15.7158860729587
"Bujeo",1,2033,-5.52654,36.072461,76.4317745439257,16.6076106902092
"Bujeo",1,2034,-5.52654,36.072461,26.3927019296602,16.5038135159401
"Bujeo",1,2035,-5.52654,36.072461,27.2972172730493,16.9824620400706
"Bujeo",1,2036,-5.52654,36.072461,25.0273067379723,18.0160254693801
"Bujeo",1,2037,-5.52654,36.072461,14.407048517819,19.3752075195313
"Bujeo",1,2038,-5.52654,36.072461,68.0673112610748,16.3037639002646
"Bujeo",1,2039,-5.52654,36.072461,81.7247746103021,16.8747261293473
"Bujeo",1,2040,-5.52654,36.072461,52.3261832028879,14.236968797253
"Bujeo",1,2041,-5.52654,36.072461,22.9130585731298,17.0219055175781
"Bujeo",1,2042,-5.52654,36.072461,227.452716630705,15.2023293772052
"Bujeo",1,2043,-5.52654,36.072461,9.27350282918269,18.4227686728201
"Bujeo",1,2044,-5.52654,36.072461,13.9165467021172,16.648336890436
"Bujeo",1,2045,-5.52654,36.072461,41.5745501616584,17.6563728578629
"Bujeo",1,2046,-5.52654,36.072461,243.992564304062,15.3425999795237
"Bujeo",1,2047,-5.52654,36.072461,39.6023362209803,16.6014097152218
"Bujeo",1,2048,-5.52654,36.072461,75.5467393089134,15.970121125252
"Bujeo",1,2049,-5.52654,36.072461,160.226281846917,15.9989110146799
"Bujeo",1,2050,-5.52654,36.072461,36.029984785182,16.9500740297379
"Bujeo",1,2051,-5.52654,36.072461,76.2541943683118,15.6967082362021
"Bujeo",1,2052,-5.52654,36.072461,76.7646547857225,19.588993983115
"Bujeo",1,2053,-5.52654,36.072461,120.804684446148,16.6477294921875
"Bujeo",1,2054,-5.52654,36.072461,61.6776973019114,16.3834640010711
"Bujeo",1,2055,-5.52654,36.072461,70.7406045588492,17.6581409085182
"Bujeo",1,2056,-5.52654,36.072461,119.223200752015,16.6200549710182
"Bujeo",1,2057,-5.52654,36.072461,66.1944069207623,15.5689163700227
"Bujeo",1,2058,-5.52654,36.072461,24.932971623366,16.4132353751891
"Bujeo",1,2059,-5.52654,36.072461,142.856383075855,15.0249936995968
