pop,month,year,lon,lat,cum_rain,mean_max_temp
Bujeo,1,2015,-5.52654,36.072461,56.31005433,13.98375067
Bujeo,1,2016,-5.52654,36.072461,61.32949525,17.62084154
Bujeo,1,2017,-5.52654,36.072461,22.85075762,17.13479693
Bujeo,1,2018,-5.52654,36.072461,34.43995592,12.93170245
Bujeo,1,2019,-5.52654,36.072461,85.55276598,16.95691489
Bujeo,1,2020,-5.52654,36.072461,42.79204387,16.21063705
Bujeo,1,2021,-5.52654,36.072461,49.11631343,15.67121031
Bujeo,1,2022,-5.52654,36.072461,22.59243003,15.05873531
Bujeo,1,2023,-5.52654,36.072461,83.76538441,14.93150359
Bujeo,1,2024,-5.52654,36.072461,42.10925291,16.75634844
Bujeo,1,2025,-5.52654,36.072461,103.6329739,14.31211489
Bujeo,1,2026,-5.52654,36.072461,128.2969426,15.89657672
Bujeo,1,2027,-5.52654,36.072461,200.6675406,14.20007305
Bujeo,1,2028,-5.52654,36.072461,61.76489261,16.53817434
Bujeo,1,2029,-5.52654,36.072461,49.52974145,15.95374205
Bujeo,1,2030,-5.52654,36.072461,151.1927733,14.4735637
Bujeo,1,2031,-5.52654,36.072461,45.25086305,17.64370413
Bujeo,1,2032,-5.52654,36.072461,30.73792144,16.83757344
Bujeo,1,2033,-5.52654,36.072461,22.15543023,16.61205346
Bujeo,1,2034,-5.52654,36.072461,108.5813532,14.85582984
Bujeo,1,2035,-5.52654,36.072461,30.11739382,15.84294453
Bujeo,1,2036,-5.52654,36.072461,44.06270067,16.13611214
Bujeo,1,2037,-5.52654,36.072461,97.86943938,17.15594561
Bujeo,1,2038,-5.52654,36.072461,103.1430006,15.28751772
Bujeo,1,2039,-5.52654,36.072461,22.89309884,17.83941237
Bujeo,1,2040,-5.52654,36.072461,50.99438509,15.81195049
Bujeo,1,2041,-5.52654,36.072461,181.640242,17.341903
Bujeo,1,2042,-5.52654,36.072461,133.5394693,16.94389668
Bujeo,1,2043,-5.52654,36.072461,45.02257145,16.13749134
Bujeo,1,2044,-5.52654,36.072461,86.49653214,17.4353301
Bujeo,1,2045,-5.52654,36.072461,45.05032362,15.71071777
Bujeo,1,2046,-5.52654,36.072461,11.27568526,19.71087331
Bujeo,1,2047,-5.52654,36.072461,65.10995237,16.1740071
Bujeo,1,2048,-5.52654,36.072461,51.1681213,16.00941398
