"pop","month","year","lon","lat","cum_rain","mean_max_temp"
"Bujeo",1,2015,-5.52654,36.072461,12.449799020173,15.8397874401462
"Bujeo",1,2016,-5.52654,36.072461,2.18127062724172,18.4084126134073
"Bujeo",1,2017,-5.52654,36.072461,13.7580690294399,17.8593413322203
"Bujeo",1,2018,-5.52654,36.072461,3.90523907805477,17.6195420788181
"Bujeo",1,2019,-5.52654,36.072461,47.6977502565308,16.0029688681326
"Bujeo",1,2020,-5.52654,36.072461,51.5494951152882,13.0062726420741
"Bujeo",1,2021,-5.52654,36.072461,45.4794905757729,15.8433451990928
"Bujeo",1,2022,-5.52654,36.072461,7.1935300705303,16.5941740958922
"Bujeo",1,2023,-5.52654,36.072461,108.215179506922,13.8573872227823
"Bujeo",1,2024,-5.52654,36.072461,32.2591232250361,14.4968486170615
"Bujeo",1,2025,-5.52654,36.072461,42.036566020476,14.7672629079511
"Bujeo",1,2026,-5.52654,36.072461,2.32331203091306,18.8608347246724
"Bujeo",1,2027,-5.52654,36.072461,1.95006119951778,18.0356364588584
"Bujeo",1,2028,-5.52654,36.072461,11.0775822750375,15.068496999433
"Bujeo",1,2029,-5.52654,36.072461,25.3599223087411,14.8417828959804
"Bujeo",1,2030,-5.52654,36.072461,15.7091449769885,14.3221827353201
"Bujeo",1,2031,-5.52654,36.072461,62.1154053748528,16.3757942445817
"Bujeo",1,2032,-5.52654,36.072461,7.42711489809326,14.3319887222783
"Bujeo",1,2033,-5.52654,36.072461,14.2847692917135,18.6936338363155
"Bujeo",1,2034,-5.52654,36.072461,0.630568565647823,17.5005028509325
"Bujeo",1,2035,-5.52654,36.072461,21.3179937842784,14.7431540212324
"Bujeo",1,2036,-5.52654,36.072461,13.4591050520328,15.0975910802042
"Bujeo",1,2037,-5.52654,36.072461,26.4438854788854,18.6273181546119
"Bujeo",1,2038,-5.52654,36.072461,26.0546562929275,15.382953077747
"Bujeo",1,2039,-5.52654,36.072461,8.80767037791422,19.9788639191659
"Bujeo",1,2040,-5.52654,36.072461,2.22634583407638,16.8152956070439
"Bujeo",1,2041,-5.52654,36.072461,62.7827546427479,14.4749084472656
"Bujeo",1,2042,-5.52654,36.072461,24.4178117178446,14.8283138152092
"Bujeo",1,2043,-5.52654,36.072461,21.4848046134213,15.6768235729587
"Bujeo",1,2044,-5.52654,36.072461,57.4504745355103,16.7196446572581
"Bujeo",1,2045,-5.52654,36.072461,2.79186706638018,20.0660910329511
"Bujeo",1,2046,-5.52654,36.072461,7.2298192132303,15.7315711236769
"Bujeo",1,2047,-5.52654,36.072461,2.59561776984844,15.2856925718246
"Bujeo",1,2048,-5.52654,36.072461,10.4889552533782,17.5473709598664
"Bujeo",1,2049,-5.52654,36.072461,4.52840816020096,17.891251890121
"Bujeo",1,2050,-5.52654,36.072461,16.0584628001959,18.1464487383443
"Bujeo",1,2051,-5.52654,36.072461,26.6033814416213,17.311659093057
"Bujeo",1,2052,-5.52654,36.072461,28.431427348414,14.5943384970388
"Bujeo",1,2053,-5.52654,36.072461,79.4752670202744,13.016004796182
"Bujeo",1,2054,-5.52654,36.072461,22.1326998405434,14.2836095010081
"Bujeo",1,2055,-5.52654,36.072461,10.696973641915,15.1137663810484
"Bujeo",1,2056,-5.52654,36.072461,9.00811172569297,18.0209397838962
"Bujeo",1,2057,-5.52654,36.072461,30.9622693554377,16.5173524918095
"Bujeo",1,2058,-5.52654,36.072461,33.0231118641282,14.6404781218498
"Bujeo",1,2059,-5.52654,36.072461,9.62997619844576,19.2869703723538
"Bujeo",1,2060,-5.52654,36.072461,21.9664899634759,16.8010872133317
"Bujeo",1,2061,-5.52654,36.072461,40.9640219379671,16.9334704983619
"Bujeo",1,2062,-5.52654,36.072461,68.4692716429558,15.8715887254285
"Bujeo",1,2063,-5.52654,36.072461,4.72103800339894,18.1506887128276
"Bujeo",1,2064,-5.52654,36.072461,18.6116169507263,18.5676789314516
"Bujeo",1,2065,-5.52654,36.072461,33.6040248465153,14.4596811602193
"Bujeo",1,2066,-5.52654,36.072461,2.79251028250589,20.6233774492818
"Bujeo",1,2067,-5.52654,36.072461,5.02470043130988,18.3617335165701
"Bujeo",1,2068,-5.52654,36.072461,9.05992347652519,21.2020035282258
"Bujeo",1,2069,-5.52654,36.072461,8.57406390682681,20.2216509419103
"Bujeo",1,2070,-5.52654,36.072461,59.196222726621,14.810193264869
