pop,month,year,lon,lat,cum_rain,mean_max_temp
Bujeo,1,2015,-5.52654,36.072461,35.42350945,14.13007458
Bujeo,1,2016,-5.52654,36.072461,91.70551775,15.25344041
Bujeo,1,2017,-5.52654,36.072461,95.51179061,13.45406593
Bujeo,1,2018,-5.52654,36.072461,18.62752995,16.55711296
Bujeo,1,2019,-5.52654,36.072461,7.339951549,16.21614301
Bujeo,1,2020,-5.52654,36.072461,27.84814257,14.57803916
Bujeo,1,2021,-5.52654,36.072461,13.44539864,15.51071147
Bujeo,1,2022,-5.52654,36.072461,11.4693239,14.88355162
Bujeo,1,2023,-5.52654,36.072461,37.36370546,16.11638696
Bujeo,1,2024,-5.52654,36.072461,25.51484549,17.50806038
Bujeo,1,2025,-5.52654,36.072461,7.137177802,16.94393704
Bujeo,1,2026,-5.52654,36.072461,25.16046682,17.31008891
Bujeo,1,2027,-5.52654,36.072461,33.02707612,13.47803601
Bujeo,1,2028,-5.52654,36.072461,51.05265474,15.57994601
Bujeo,1,2029,-5.52654,36.072461,16.36219095,14.69366829
Bujeo,1,2030,-5.52654,36.072461,30.87026716,15.78182471
Bujeo,1,2031,-5.52654,36.072461,72.16382182,14.17055861
Bujeo,1,2032,-5.52654,36.072461,18.27284476,16.36097353
Bujeo,1,2033,-5.52654,36.072461,32.02203141,17.13592313
Bujeo,1,2034,-5.52654,36.072461,35.1773363,16.10114884
Bujeo,1,2035,-5.52654,36.072461,9.107723373,17.0388349
Bujeo,1,2036,-5.52654,36.072461,1.344615214,18.90335162
Bujeo,1,2037,-5.52654,36.072461,3.409085323,17.37801612
Bujeo,1,2038,-5.52654,36.072461,13.98175834,15.0174972
Bujeo,1,2039,-5.52654,36.072461,25.4539443,16.78134825
Bujeo,1,2040,-5.52654,36.072461,10.14127221,18.19704098
Bujeo,1,2041,-5.52654,36.072461,61.70128673,14.52070844
Bujeo,1,2042,-5.52654,36.072461,35.81737636,15.62437468
Bujeo,1,2043,-5.52654,36.072461,38.06045471,14.37465427
Bujeo,1,2044,-5.52654,36.072461,31.29684139,18.06141692
Bujeo,1,2045,-5.52654,36.072461,46.08388711,14.89632864
Bujeo,1,2046,-5.52654,36.072461,8.442245096,16.98380481
Bujeo,1,2047,-5.52654,36.072461,17.74131338,17.080896
Bujeo,1,2048,-5.52654,36.072461,31.27400962,15.17983398
Bujeo,1,2049,-5.52654,36.072461,56.07471945,13.94484076
Bujeo,1,2050,-5.52654,36.072461,22.12736291,16.61033857
Bujeo,1,2051,-5.52654,36.072461,4.528099687,17.23957854
Bujeo,1,2052,-5.52654,36.072461,17.41224808,17.55479756
Bujeo,1,2053,-5.52654,36.072461,24.15716158,16.5457171
Bujeo,1,2054,-5.52654,36.072461,2.824617641,18.38280344
Bujeo,1,2055,-5.52654,36.072461,28.2008188,18.40390192
Bujeo,1,2056,-5.52654,36.072461,41.43785613,15.16080578
Bujeo,1,2057,-5.52654,36.072461,11.5284544,15.85763333
Bujeo,1,2058,-5.52654,36.072461,80.46124161,13.97834512
Bujeo,1,2059,-5.52654,36.072461,84.8443773,14.59842391
Bujeo,1,2060,-5.52654,36.072461,10.6232427,17.90835748
Bujeo,1,2061,-5.52654,36.072461,19.34972794,18.07406695
Bujeo,1,2062,-5.52654,36.072461,22.19373528,16.6579962
Bujeo,1,2063,-5.52654,36.072461,54.46610205,14.08267488
Bujeo,1,2064,-5.52654,36.072461,42.44159931,14.73625311
Bujeo,1,2065,-5.52654,36.072461,4.509002372,19.57519708
Bujeo,1,2066,-5.52654,36.072461,31.49056713,17.50524587
Bujeo,1,2067,-5.52654,36.072461,128.6351962,15.37960993
Bujeo,1,2068,-5.52654,36.072461,16.45212908,17.84272993
Bujeo,1,2069,-5.52654,36.072461,0.630395302,18.36810086
Bujeo,1,2070,-5.52654,36.072461,28.14509255,16.60955003
Bujeo,1,2071,-5.52654,36.072461,3.571529671,16.73605622
Bujeo,1,2072,-5.52654,36.072461,57.28417047,15.65166724
Bujeo,1,2073,-5.52654,36.072461,2.021011843,18.38088084
Bujeo,1,2074,-5.52654,36.072461,14.88408442,19.36217061
Bujeo,1,2075,-5.52654,36.072461,9.720490962,18.35236954
Bujeo,1,2076,-5.52654,36.072461,4.900243934,16.5992154
Bujeo,1,2077,-5.52654,36.072461,6.432345976,20.77716734
Bujeo,1,2078,-5.52654,36.072461,14.06138578,17.67967254
Bujeo,1,2079,-5.52654,36.072461,1.924457227,17.94355607
Bujeo,1,2080,-5.52654,36.072461,93.29359323,15.09582598
Bujeo,1,2081,-5.52654,36.072461,118.6921089,13.93247917
Bujeo,1,2082,-5.52654,36.072461,44.04262315,16.10911196
Bujeo,1,2083,-5.52654,36.072461,53.80720684,17.27049974
Bujeo,1,2084,-5.52654,36.072461,46.97543822,14.86054628
Bujeo,1,2085,-5.52654,36.072461,28.17719661,16.67592872
Bujeo,1,2086,-5.52654,36.072461,12.14017185,18.47536129
Bujeo,1,2087,-5.52654,36.072461,60.65567019,13.43348133
Bujeo,1,2088,-5.52654,36.072461,19.61270813,19.74952235
Bujeo,1,2089,-5.52654,36.072461,17.65089491,18.95207539
Bujeo,1,2090,-5.52654,36.072461,8.648357596,18.90868136
Bujeo,1,2091,-5.52654,36.072461,26.91578487,18.40191729
Bujeo,1,2092,-5.52654,36.072461,49.55428875,15.4154415
Bujeo,1,2093,-5.52654,36.072461,61.86146883,15.6625187
Bujeo,1,2094,-5.52654,36.072461,52.24770959,14.75615057
Bujeo,1,2095,-5.52654,36.072461,24.4080607,17.81780592
Bujeo,1,2096,-5.52654,36.072461,43.30843874,14.9937181
Bujeo,1,2097,-5.52654,36.072461,0.101772727,20.21150631
Bujeo,1,2098,-5.52654,36.072461,10.18570705,16.66664055
Bujeo,1,2099,-5.52654,36.072461,14.13288228,17.0070661
Bujeo,1,2100,-5.52654,36.072461,13.78596446,17.14275414
Bujeo,10,2015,-5.52654,36.072461,12.86248325,25.86349665
Bujeo,10,2016,-5.52654,36.072461,4.666543563,25.31164334
Bujeo,10,2017,-5.52654,36.072461,14.70696575,27.79925616
Bujeo,10,2018,-5.52654,36.072461,2.127156668,31.92380036
Bujeo,10,2019,-5.52654,36.072461,13.64412592,29.61076877
Bujeo,10,2020,-5.52654,36.072461,4.992199023,30.81426293
Bujeo,10,2021,-5.52654,36.072461,41.26185225,26.56008891
Bujeo,10,2022,-5.52654,36.072461,6.229420766,24.67495314
Bujeo,10,2023,-5.52654,36.072461,8.047678072,30.39320502
Bujeo,10,2024,-5.52654,36.072461,8.028944453,30.22993696
Bujeo,10,2025,-5.52654,36.072461,23.38415436,27.02341368
Bujeo,10,2026,-5.52654,36.072461,11.42674731,28.28890282
Bujeo,10,2027,-5.52654,36.072461,33.12898208,25.42518645
Bujeo,10,2028,-5.52654,36.072461,7.986069175,28.61780848
Bujeo,10,2029,-5.52654,36.072461,26.42230288,25.24441213
Bujeo,10,2030,-5.52654,36.072461,3.063802229,31.14944045
Bujeo,10,2031,-5.52654,36.072461,38.58531333,28.79911145
Bujeo,10,2032,-5.52654,36.072461,17.40117388,25.78589635
Bujeo,10,2033,-5.52654,36.072461,42.17912454,27.27570348
Bujeo,10,2034,-5.52654,36.072461,19.99467273,25.16744089
Bujeo,10,2035,-5.52654,36.072461,0.026902679,31.12586611
Bujeo,10,2036,-5.52654,36.072461,15.29009159,24.83268472
Bujeo,10,2037,-5.52654,36.072461,10.32537543,30.22771705
Bujeo,10,2038,-5.52654,36.072461,8.124093608,29.70266409
Bujeo,10,2039,-5.52654,36.072461,2.420190926,26.69623177
Bujeo,10,2040,-5.52654,36.072461,37.22141114,25.71300659
Bujeo,10,2041,-5.52654,36.072461,36.96031994,25.10910211
Bujeo,10,2042,-5.52654,36.072461,20.70531739,24.34799864
Bujeo,10,2043,-5.52654,36.072461,24.9747076,26.37992987
Bujeo,10,2044,-5.52654,36.072461,21.00417094,27.50559732
Bujeo,10,2045,-5.52654,36.072461,11.08207993,29.56456614
Bujeo,10,2046,-5.52654,36.072461,15.04354184,25.53078023
Bujeo,10,2047,-5.52654,36.072461,9.226861214,29.12273658
Bujeo,10,2048,-5.52654,36.072461,12.67962172,30.92506832
Bujeo,10,2049,-5.52654,36.072461,23.84237134,28.44012431
Bujeo,10,2050,-5.52654,36.072461,7.810480725,31.00110828
Bujeo,10,2051,-5.52654,36.072461,18.4234292,28.4200782
Bujeo,10,2052,-5.52654,36.072461,50.37329075,23.29637471
Bujeo,10,2053,-5.52654,36.072461,13.49897877,32.37969163
Bujeo,10,2054,-5.52654,36.072461,25.28707334,27.71694828
Bujeo,10,2055,-5.52654,36.072461,17.85835113,27.33619227
Bujeo,10,2056,-5.52654,36.072461,23.59920387,29.60656522
Bujeo,10,2057,-5.52654,36.072461,60.2753142,25.70588911
Bujeo,10,2058,-5.52654,36.072461,12.87395347,27.48166661
Bujeo,10,2059,-5.52654,36.072461,48.15263515,27.94721522
Bujeo,10,2060,-5.52654,36.072461,20.97124625,28.8542321
Bujeo,10,2061,-5.52654,36.072461,5.168178154,28.52224121
Bujeo,10,2062,-5.52654,36.072461,19.48897428,27.80395488
Bujeo,10,2063,-5.52654,36.072461,3.210908518,27.9184972
Bujeo,10,2064,-5.52654,36.072461,20.66700798,28.15233371
Bujeo,10,2065,-5.52654,36.072461,6.556438765,28.99596853
Bujeo,10,2066,-5.52654,36.072461,2.240182866,30.18362506
Bujeo,10,2067,-5.52654,36.072461,7.617921887,31.90122425
Bujeo,10,2068,-5.52654,36.072461,25.92994692,27.91421686
Bujeo,10,2069,-5.52654,36.072461,20.05770734,27.75249142
Bujeo,10,2070,-5.52654,36.072461,16.58594097,28.0307753
Bujeo,10,2071,-5.52654,36.072461,27.28572291,31.236766
Bujeo,10,2072,-5.52654,36.072461,7.647514906,29.57411026
Bujeo,10,2073,-5.52654,36.072461,20.58348566,28.20651521
Bujeo,10,2074,-5.52654,36.072461,27.20142137,27.79807385
Bujeo,10,2075,-5.52654,36.072461,11.70727,26.75975066
Bujeo,10,2076,-5.52654,36.072461,6.41837164,28.37427526
Bujeo,10,2077,-5.52654,36.072461,3.079949304,27.88095664
Bujeo,10,2078,-5.52654,36.072461,1.463745152,32.3137018
Bujeo,10,2079,-5.52654,36.072461,35.49439105,29.25566426
Bujeo,10,2080,-5.52654,36.072461,0.43372028,28.67029084
Bujeo,10,2081,-5.52654,36.072461,47.95616399,25.99644204
Bujeo,10,2082,-5.52654,36.072461,11.67173818,28.75573415
Bujeo,10,2083,-5.52654,36.072461,14.45073882,30.30818304
Bujeo,10,2084,-5.52654,36.072461,2.24510868,29.2580594
Bujeo,10,2085,-5.52654,36.072461,23.98313853,25.49559051
Bujeo,10,2086,-5.52654,36.072461,7.223605206,27.88654628
Bujeo,10,2087,-5.52654,36.072461,16.60114034,30.48182511
Bujeo,10,2088,-5.52654,36.072461,10.63048087,29.3312248
Bujeo,10,2089,-5.52654,36.072461,46.49934172,26.04198707
Bujeo,10,2090,-5.52654,36.072461,2.933129123,30.16223125
Bujeo,10,2091,-5.52654,36.072461,79.10529107,23.06676144
Bujeo,10,2092,-5.52654,36.072461,23.06344057,28.176923
Bujeo,10,2093,-5.52654,36.072461,26.03560461,26.18938303
Bujeo,10,2094,-5.52654,36.072461,25.63258378,27.68858465
Bujeo,10,2095,-5.52654,36.072461,14.1003216,29.42111186
Bujeo,10,2096,-5.52654,36.072461,3.902949836,28.14483131
Bujeo,10,2097,-5.52654,36.072461,31.14686863,26.0633415
Bujeo,10,2098,-5.52654,36.072461,17.07588208,28.84968793
Bujeo,10,2099,-5.52654,36.072461,12.29703962,28.53194777
Bujeo,10,2100,-5.52654,36.072461,22.45001595,28.96411802
Bujeo,11,2015,-5.52654,36.072461,5.675631338,20.58602905
Bujeo,11,2016,-5.52654,36.072461,4.566375376,23.94470215
Bujeo,11,2017,-5.52654,36.072461,23.77280313,19.01349487
Bujeo,11,2018,-5.52654,36.072461,39.54636442,18.17127075
Bujeo,11,2019,-5.52654,36.072461,23.9843037,18.88133748
Bujeo,11,2020,-5.52654,36.072461,55.89891519,20.95877482
Bujeo,11,2021,-5.52654,36.072461,39.23132817,18.59110311
Bujeo,11,2022,-5.52654,36.072461,19.57683283,19.77706807
Bujeo,11,2023,-5.52654,36.072461,51.14886129,19.57324829
Bujeo,11,2024,-5.52654,36.072461,69.97929475,17.10852966
Bujeo,11,2025,-5.52654,36.072461,14.42720377,21.93625895
Bujeo,11,2026,-5.52654,36.072461,51.25403612,16.95985616
Bujeo,11,2027,-5.52654,36.072461,34.93370709,17.49870707
Bujeo,11,2028,-5.52654,36.072461,20.51498385,21.41199748
Bujeo,11,2029,-5.52654,36.072461,4.535390167,23.62978109
Bujeo,11,2030,-5.52654,36.072461,7.126486021,24.12506409
Bujeo,11,2031,-5.52654,36.072461,55.38575037,17.31543986
Bujeo,11,2032,-5.52654,36.072461,8.404639523,22.26528727
Bujeo,11,2033,-5.52654,36.072461,49.63350668,15.7848704
Bujeo,11,2034,-5.52654,36.072461,41.00101395,19.43556315
Bujeo,11,2035,-5.52654,36.072461,19.86078939,21.63591614
Bujeo,11,2036,-5.52654,36.072461,12.94936182,22.18215942
Bujeo,11,2037,-5.52654,36.072461,51.1374448,18.12713318
Bujeo,11,2038,-5.52654,36.072461,5.550959545,22.59511007
Bujeo,11,2039,-5.52654,36.072461,3.799824854,20.91719462
Bujeo,11,2040,-5.52654,36.072461,47.12949053,17.23027547
Bujeo,11,2041,-5.52654,36.072461,23.21601478,20.45026449
Bujeo,11,2042,-5.52654,36.072461,43.10381439,18.10760701
Bujeo,11,2043,-5.52654,36.072461,12.20390389,20.43953756
Bujeo,11,2044,-5.52654,36.072461,17.06301727,19.14787394
Bujeo,11,2045,-5.52654,36.072461,40.72020941,23.66291809
Bujeo,11,2046,-5.52654,36.072461,36.61412513,17.76007996
Bujeo,11,2047,-5.52654,36.072461,15.18368478,23.88587138
Bujeo,11,2048,-5.52654,36.072461,137.3742873,17.20914815
Bujeo,11,2049,-5.52654,36.072461,13.65889218,21.46328837
Bujeo,11,2050,-5.52654,36.072461,44.36780688,17.93365987
Bujeo,11,2051,-5.52654,36.072461,73.53573456,22.44408264
Bujeo,11,2052,-5.52654,36.072461,2.388074715,23.12150167
Bujeo,11,2053,-5.52654,36.072461,51.82959543,17.57616577
Bujeo,11,2054,-5.52654,36.072461,34.40333922,19.63532104
Bujeo,11,2055,-5.52654,36.072461,35.05529894,21.65547587
Bujeo,11,2056,-5.52654,36.072461,23.34217818,19.86998291
Bujeo,11,2057,-5.52654,36.072461,100.9947912,17.6475118
Bujeo,11,2058,-5.52654,36.072461,28.78965535,23.12305603
Bujeo,11,2059,-5.52654,36.072461,68.92715323,17.24013774
Bujeo,11,2060,-5.52654,36.072461,12.94648228,21.66017151
Bujeo,11,2061,-5.52654,36.072461,29.75642804,20.32856649
Bujeo,11,2062,-5.52654,36.072461,48.7823254,20.74075419
Bujeo,11,2063,-5.52654,36.072461,17.16215987,20.21932068
Bujeo,11,2064,-5.52654,36.072461,5.670243293,23.10922139
Bujeo,11,2065,-5.52654,36.072461,16.7472958,22.36561584
Bujeo,11,2066,-5.52654,36.072461,25.05677367,22.61735026
Bujeo,11,2067,-5.52654,36.072461,37.44825434,21.26303507
Bujeo,11,2068,-5.52654,36.072461,83.16835092,17.56370341
Bujeo,11,2069,-5.52654,36.072461,35.83998403,18.65649312
Bujeo,11,2070,-5.52654,36.072461,48.99517346,22.00697937
Bujeo,11,2071,-5.52654,36.072461,80.74731178,16.74446309
Bujeo,11,2072,-5.52654,36.072461,33.27599281,20.28461405
Bujeo,11,2073,-5.52654,36.072461,13.29297667,22.91009623
Bujeo,11,2074,-5.52654,36.072461,16.29975032,22.18403219
Bujeo,11,2075,-5.52654,36.072461,26.24559236,18.93361715
Bujeo,11,2076,-5.52654,36.072461,15.33825734,22.65237223
Bujeo,11,2077,-5.52654,36.072461,23.60678952,19.32996216
Bujeo,11,2078,-5.52654,36.072461,22.44501666,18.67945455
Bujeo,11,2079,-5.52654,36.072461,35.54073239,17.19662882
Bujeo,11,2080,-5.52654,36.072461,23.79971099,21.84495646
Bujeo,11,2081,-5.52654,36.072461,22.1394433,21.07268372
Bujeo,11,2082,-5.52654,36.072461,16.67862934,20.21521708
Bujeo,11,2083,-5.52654,36.072461,42.99818369,20.65182292
Bujeo,11,2084,-5.52654,36.072461,20.60914761,21.62473958
Bujeo,11,2085,-5.52654,36.072461,87.50647868,16.95774434
Bujeo,11,2086,-5.52654,36.072461,52.16662025,21.56982524
Bujeo,11,2087,-5.52654,36.072461,42.37360734,19.11619873
Bujeo,11,2088,-5.52654,36.072461,25.87298722,20.13719482
Bujeo,11,2089,-5.52654,36.072461,33.3968941,18.89237569
Bujeo,11,2090,-5.52654,36.072461,75.06232607,20.36385295
Bujeo,11,2091,-5.52654,36.072461,13.26725701,17.14531759
Bujeo,11,2092,-5.52654,36.072461,11.73419655,23.73911031
Bujeo,11,2093,-5.52654,36.072461,28.59576599,19.83869934
Bujeo,11,2094,-5.52654,36.072461,14.24781587,19.37622172
Bujeo,11,2095,-5.52654,36.072461,13.9868278,20.10298564
Bujeo,11,2096,-5.52654,36.072461,68.30207352,16.67455241
Bujeo,11,2097,-5.52654,36.072461,5.225187488,23.54699402
Bujeo,11,2098,-5.52654,36.072461,63.1721033,19.84393819
