pop,month,year,lon,lat,cum_rain,mean_max_temp
Bujeo,1,2015,-5.52654,36.072461,51.87411358,15.87062595
Bujeo,1,2016,-5.52654,36.072461,26.96821001,19.18874807
Bujeo,1,2017,-5.52654,36.072461,19.50791743,17.47295237
Bujeo,1,2018,-5.52654,36.072461,31.65033085,17.57397146
Bujeo,1,2019,-5.52654,36.072461,111.0227736,17.14645366
Bujeo,1,2020,-5.52654,36.072461,61.9344792,18.43400209
Bujeo,1,2021,-5.52654,36.072461,47.35921891,18.94129776
Bujeo,1,2022,-5.52654,36.072461,34.36667994,16.65372866
Bujeo,1,2023,-5.52654,36.072461,112.9338209,16.06727728
Bujeo,1,2024,-5.52654,36.072461,443.2334405,15.9072116
Bujeo,1,2025,-5.52654,36.072461,19.44294025,18.38892369
Bujeo,1,2026,-5.52654,36.072461,20.51707968,17.39320502
Bujeo,1,2027,-5.52654,36.072461,51.37237568,17.21728594
Bujeo,1,2028,-5.52654,36.072461,99.53445508,17.91450235
Bujeo,1,2029,-5.52654,36.072461,21.69155037,19.36975866
Bujeo,1,2030,-5.52654,36.072461,2.096189505,19.26563169
Bujeo,1,2031,-5.52654,36.072461,11.9501731,17.64863025
Bujeo,1,2032,-5.52654,36.072461,8.273125194,17.05273713
Bujeo,1,2033,-5.52654,36.072461,53.21210727,18.45081236
Bujeo,1,2034,-5.52654,36.072461,120.406374,18.5579261
Bujeo,1,2035,-5.52654,36.072461,18.07919624,18.59430306
Bujeo,1,2036,-5.52654,36.072461,98.96017108,17.68026517
Bujeo,1,2037,-5.52654,36.072461,46.87409178,19.37241467
Bujeo,1,2038,-5.52654,36.072461,22.3543456,17.89113179
Bujeo,1,2039,-5.52654,36.072461,6.816557914,20.20222896
Bujeo,1,2040,-5.52654,36.072461,12.92757199,16.61489553
Bujeo,1,2041,-5.52654,36.072461,61.19416353,16.5681741
Bujeo,1,2042,-5.52654,36.072461,87.81376071,17.40211615
Bujeo,1,2043,-5.52654,36.072461,11.05529189,17.94509277
Bujeo,1,2044,-5.52654,36.072461,85.91271368,19.57442529
Bujeo,1,2045,-5.52654,36.072461,70.19998603,19.73241085
Bujeo,1,2046,-5.52654,36.072461,130.5348251,17.09029935
Bujeo,1,2047,-5.52654,36.072461,49.6364379,18.65344809
Bujeo,1,2048,-5.52654,36.072461,11.98057462,22.09619908
Bujeo,1,2049,-5.52654,36.072461,47.76004957,19.17686295
Bujeo,1,2050,-5.52654,36.072461,88.44669248,16.71917803
Bujeo,1,2051,-5.52654,36.072461,61.32518577,17.30149871
Bujeo,1,2052,-5.52654,36.072461,26.8521312,18.94146315
Bujeo,1,2053,-5.52654,36.072461,33.13586978,19.22256647
Bujeo,1,2054,-5.52654,36.072461,24.44162647,18.85687433
Bujeo,1,2055,-5.52654,36.072461,50.78025058,17.59926856
Bujeo,1,2056,-5.52654,36.072461,34.78741262,19.09772693
Bujeo,1,2057,-5.52654,36.072461,200.4879233,17.36729461
Bujeo,1,2058,-5.52654,36.072461,84.88773305,19.72179172
Bujeo,1,2059,-5.52654,36.072461,76.8247551,19.90899835
Bujeo,1,2060,-5.52654,36.072461,25.21602733,18.66816839
Bujeo,1,2061,-5.52654,36.072461,57.95117299,19.71559665
Bujeo,1,2062,-5.52654,36.072461,5.844124969,18.87360781
Bujeo,1,2063,-5.52654,36.072461,8.248047707,18.77120263
Bujeo,1,2064,-5.52654,36.072461,58.59184985,17.78002418
Bujeo,1,2065,-5.52654,36.072461,33.98820649,17.4441674
Bujeo,1,2066,-5.52654,36.072461,202.7303857,17.55354043
Bujeo,1,2067,-5.52654,36.072461,46.24400249,17.56237773
Bujeo,1,2068,-5.52654,36.072461,75.02782492,18.68647796
Bujeo,1,2069,-5.52654,36.072461,57.58654546,19.47841009
Bujeo,1,2070,-5.52654,36.072461,72.40485672,19.29643574
Bujeo,1,2071,-5.52654,36.072461,59.45638264,17.50346601
Bujeo,1,2072,-5.52654,36.072461,29.18343663,18.96176423
Bujeo,1,2073,-5.52654,36.072461,65.67816886,17.37698246
Bujeo,1,2074,-5.52654,36.072461,48.58740068,20.19185988
Bujeo,1,2075,-5.52654,36.072461,21.68769073,18.91108339
Bujeo,1,2076,-5.52654,36.072461,84.27385905,20.39513451
Bujeo,1,2077,-5.52654,36.072461,28.89009955,19.9466728
Bujeo,1,2078,-5.52654,36.072461,12.11145702,16.41130194
Bujeo,1,2079,-5.52654,36.072461,35.43927105,18.23220116
Bujeo,1,2080,-5.52654,36.072461,122.5016766,17.93020906
Bujeo,1,2081,-5.52654,36.072461,98.51243024,17.44500024
Bujeo,1,2082,-5.52654,36.072461,8.42359336,19.69156553
Bujeo,1,2083,-5.52654,36.072461,47.54386198,20.01114167
Bujeo,1,2084,-5.52654,36.072461,48.73153387,19.84554837
Bujeo,1,2085,-5.52654,36.072461,41.65493254,18.10826534
Bujeo,1,2086,-5.52654,36.072461,26.12293682,16.0863045
Bujeo,1,2087,-5.52654,36.072461,27.6966745,20.2040423
Bujeo,1,2088,-5.52654,36.072461,44.3793835,16.33648957
Bujeo,1,2089,-5.52654,36.072461,12.07956693,21.52917264
Bujeo,1,2090,-5.52654,36.072461,29.16584259,19.00744019
Bujeo,1,2091,-5.52654,36.072461,40.47126651,17.68427872
Bujeo,1,2092,-5.52654,36.072461,7.921104762,18.37607087
Bujeo,1,2093,-5.52654,36.072461,63.74005106,18.09222983
Bujeo,1,2094,-5.52654,36.072461,95.08192533,17.36168922
Bujeo,1,2095,-5.52654,36.072461,0.146648846,19.49272874
Bujeo,1,2096,-5.52654,36.072461,9.132281512,18.23576188
Bujeo,1,2097,-5.52654,36.072461,4.213477495,21.47416323
Bujeo,1,2098,-5.52654,36.072461,11.59738064,19.78185917
Bujeo,1,2099,-5.52654,36.072461,29.11997699,19.17662472
Bujeo,1,2100,-5.52654,36.072461,23.5712143,20.26013065
Bujeo,10,2015,-5.52654,36.072461,35.11288147,27.27093978
Bujeo,10,2016,-5.52654,36.072461,52.36410829,27.81305207
Bujeo,10,2017,-5.52654,36.072461,70.5863922,24.66231493
Bujeo,10,2018,-5.52654,36.072461,64.0106065,25.32451192
Bujeo,10,2019,-5.52654,36.072461,21.77079099,29.08230079
Bujeo,10,2020,-5.52654,36.072461,47.0263972,26.40805132
Bujeo,10,2021,-5.52654,36.072461,18.57636799,27.80991565
Bujeo,10,2022,-5.52654,36.072461,113.2365685,26.14841269
Bujeo,10,2023,-5.52654,36.072461,89.8862525,25.40482532
Bujeo,10,2024,-5.52654,36.072461,99.13963526,26.25942383
Bujeo,10,2025,-5.52654,36.072461,27.13678404,28.02024083
Bujeo,10,2026,-5.52654,36.072461,87.06842531,26.48138703
Bujeo,10,2027,-5.52654,36.072461,48.36966798,27.5508667
Bujeo,10,2028,-5.52654,36.072461,43.80282332,28.76141633
Bujeo,10,2029,-5.52654,36.072461,3.467553951,29.45214332
Bujeo,10,2030,-5.52654,36.072461,39.78888377,27.63519661
Bujeo,10,2031,-5.52654,36.072461,42.75036744,25.09710083
Bujeo,10,2032,-5.52654,36.072461,32.04854872,26.68346164
Bujeo,10,2033,-5.52654,36.072461,20.39472339,30.97061236
Bujeo,10,2034,-5.52654,36.072461,9.470487838,29.80253335
Bujeo,10,2035,-5.52654,36.072461,23.87588111,28.41887128
Bujeo,10,2036,-5.52654,36.072461,30.33451953,27.50394838
Bujeo,10,2037,-5.52654,36.072461,57.23430193,29.81785908
Bujeo,10,2038,-5.52654,36.072461,5.403589785,32.71375181
Bujeo,10,2039,-5.52654,36.072461,110.1296611,24.88740864
Bujeo,10,2040,-5.52654,36.072461,20.72401651,26.54530167
Bujeo,10,2041,-5.52654,36.072461,0.004531606,32.42883084
Bujeo,10,2042,-5.52654,36.072461,19.66431721,28.82565583
Bujeo,10,2043,-5.52654,36.072461,103.0633936,26.35051781
Bujeo,10,2044,-5.52654,36.072461,30.06251763,30.45700546
Bujeo,10,2045,-5.52654,36.072461,126.5329492,26.03487352
Bujeo,10,2046,-5.52654,36.072461,38.82694307,26.93810326
Bujeo,10,2047,-5.52654,36.072461,6.904704222,30.41390086
Bujeo,10,2048,-5.52654,36.072461,36.40771478,27.23929601
Bujeo,10,2049,-5.52654,36.072461,14.85880457,32.66265653
Bujeo,10,2050,-5.52654,36.072461,37.38514267,27.822166
Bujeo,10,2051,-5.52654,36.072461,17.4108009,32.03372862
Bujeo,10,2052,-5.52654,36.072461,24.70892252,27.37750717
Bujeo,10,2053,-5.52654,36.072461,42.57704178,28.10482867
Bujeo,10,2054,-5.52654,36.072461,31.9443749,28.64589155
Bujeo,10,2055,-5.52654,36.072461,18.29531268,28.44533002
Bujeo,10,2056,-5.52654,36.072461,3.755021273,30.0609631
Bujeo,10,2057,-5.52654,36.072461,10.96568394,28.23058669
Bujeo,10,2058,-5.52654,36.072461,20.06769068,28.74983836
Bujeo,10,2059,-5.52654,36.072461,46.16159176,25.95164716
Bujeo,10,2060,-5.52654,36.072461,40.6308868,29.15682373
Bujeo,10,2061,-5.52654,36.072461,40.88364579,27.55259833
Bujeo,10,2062,-5.52654,36.072461,71.65191779,27.59346628
