pop,month,year,lon,lat,cum_rain,mean_max_temp
Bujeo,1,2015,-5.52654,36.072461,89.59521158,14.83361698
Bujeo,1,2016,-5.52654,36.072461,76.15745505,15.88813713
Bujeo,1,2017,-5.52654,36.072461,5.16190622,16.59012806
Bujeo,1,2018,-5.52654,36.072461,3.506005928,18.91804632
Bujeo,1,2019,-5.52654,36.072461,1.598019898,17.43310527
Bujeo,1,2020,-5.52654,36.072461,68.2350629,15.26807507
Bujeo,1,2021,-5.52654,36.072461,1.167585701,15.09796517
Bujeo,1,2022,-5.52654,36.072461,16.75013546,15.37084154
Bujeo,1,2023,-5.52654,36.072461,66.29205393,14.29799411
Bujeo,1,2024,-5.52654,36.072461,3.558997996,13.87430873
Bujeo,1,2025,-5.52654,36.072461,4.458950367,17.70554554
Bujeo,1,2026,-5.52654,36.072461,208.3507609,14.80376981
Bujeo,1,2027,-5.52654,36.072461,84.49842772,14.30026915
Bujeo,1,2028,-5.52654,36.072461,79.34068562,12.45148374
Bujeo,1,2029,-5.52654,36.072461,16.14894932,17.59187839
Bujeo,1,2030,-5.52654,36.072461,0.290410314,18.53195171
Bujeo,1,2031,-5.52654,36.072461,30.91755006,16.22485135
Bujeo,1,2032,-5.52654,36.072461,13.87816099,15.49716659
Bujeo,1,2033,-5.52654,36.072461,5.231552292,17.61407057
Bujeo,1,2034,-5.52654,36.072461,49.59697751,13.88703653
Bujeo,1,2035,-5.52654,36.072461,61.64298439,15.38443761
Bujeo,1,2036,-5.52654,36.072461,43.12172094,13.46733418
Bujeo,1,2037,-5.52654,36.072461,64.29030709,14.70118644
Bujeo,1,2038,-5.52654,36.072461,112.5038356,14.3757086
Bujeo,1,2039,-5.52654,36.072461,20.23031926,14.94470392
Bujeo,1,2040,-5.52654,36.072461,10.77753911,18.06099952
Bujeo,1,2041,-5.52654,36.072461,0.645792112,16.7263349
Bujeo,1,2042,-5.52654,36.072461,39.59740894,18.18673982
Bujeo,1,2043,-5.52654,36.072461,78.36041786,16.06341927
Bujeo,1,2044,-5.52654,36.072461,109.3797552,16.68339863
Bujeo,1,2045,-5.52654,36.072461,25.72409101,18.10736163
Bujeo,1,2046,-5.52654,36.072461,63.01663918,16.0881641
Bujeo,1,2047,-5.52654,36.072461,102.5834357,14.90719782
Bujeo,1,2048,-5.52654,36.072461,26.41029479,18.01513455
Bujeo,1,2049,-5.52654,36.072461,68.72370942,16.98448801
Bujeo,1,2050,-5.52654,36.072461,77.64664683,15.75588674
Bujeo,1,2051,-5.52654,36.072461,46.88894553,19.5659414
Bujeo,1,2052,-5.52654,36.072461,21.61003416,19.14076853
Bujeo,1,2053,-5.52654,36.072461,105.700337,16.57272615
Bujeo,1,2054,-5.52654,36.072461,10.34820126,16.67572002
Bujeo,1,2055,-5.52654,36.072461,33.96436516,16.77013058
Bujeo,1,2056,-5.52654,36.072461,51.57817276,15.71777324
Bujeo,1,2057,-5.52654,36.072461,68.40129364,14.21348897
Bujeo,1,2058,-5.52654,36.072461,37.29660669,14.79642393
Bujeo,1,2059,-5.52654,36.072461,9.262975305,17.56613139
Bujeo,1,2060,-5.52654,36.072461,98.69191339,13.85833327
Bujeo,1,2061,-5.52654,36.072461,43.36611209,16.329188
Bujeo,1,2062,-5.52654,36.072461,12.27588141,14.13914913
Bujeo,1,2063,-5.52654,36.072461,2.062569279,16.30743389
Bujeo,1,2064,-5.52654,36.072461,90.57556484,14.684641
Bujeo,1,2065,-5.52654,36.072461,143.9727807,15.42752942
Bujeo,1,2066,-5.52654,36.072461,167.2239496,15.59032593
Bujeo,1,2067,-5.52654,36.072461,14.3289783,14.90117699
Bujeo,1,2068,-5.52654,36.072461,41.0549649,16.1509614
Bujeo,1,2069,-5.52654,36.072461,0.337860268,15.89167421
Bujeo,1,2070,-5.52654,36.072461,31.23534657,15.26617018
Bujeo,1,2071,-5.52654,36.072461,105.6180074,16.37075688
Bujeo,1,2072,-5.52654,36.072461,11.2817131,16.91766239
Bujeo,1,2073,-5.52654,36.072461,21.59379506,18.39311346
Bujeo,1,2074,-5.52654,36.072461,69.82259955,17.89128339
Bujeo,1,2075,-5.52654,36.072461,14.81877398,17.22187835
