pop,month,year,lon,lat,cum_rain,mean_max_temp
Bujeo,1,2015,-5.52654,36.072461,148.6920956,15.35110552
Bujeo,1,2016,-5.52654,36.072461,46.35068784,14.30779911
Bujeo,1,2017,-5.52654,36.072461,4.635573072,16.80523564
Bujeo,1,2018,-5.52654,36.072461,259.3754261,15.07201833
Bujeo,1,2019,-5.52654,36.072461,41.57295115,16.34288645
Bujeo,1,2020,-5.52654,36.072461,0.521467545,16.33766991
Bujeo,1,2021,-5.52654,36.072461,11.13536214,16.33353035
Bujeo,1,2022,-5.52654,36.072461,40.63426257,18.14332216
Bujeo,1,2023,-5.52654,36.072461,267.1923557,15.21472148
Bujeo,1,2024,-5.52654,36.072461,94.40513422,16.07122783
Bujeo,1,2025,-5.52654,36.072461,1.328113762,16.26477031
Bujeo,1,2026,-5.52654,36.072461,20.72990226,17.04964796
Bujeo,1,2027,-5.52654,36.072461,9.472605261,17.49324164
Bujeo,1,2028,-5.52654,36.072461,122.8114425,16.70897926
Bujeo,1,2029,-5.52654,36.072461,10.60890634,15.8353742
Bujeo,1,2030,-5.52654,36.072461,175.2361346,16.10477354
Bujeo,1,2031,-5.52654,36.072461,57.93201377,15.70587335
Bujeo,1,2032,-5.52654,36.072461,329.8304274,17.13123917
Bujeo,1,2033,-5.52654,36.072461,25.75290802,17.01186031
Bujeo,1,2034,-5.52654,36.072461,25.66329997,15.56049549
Bujeo,1,2035,-5.52654,36.072461,30.58666854,17.23324762
Bujeo,1,2036,-5.52654,36.072461,57.61092261,16.50154832
Bujeo,1,2037,-5.52654,36.072461,12.84915344,17.69273997
Bujeo,1,2038,-5.52654,36.072461,1.410465829,16.88306629
Bujeo,1,2039,-5.52654,36.072461,9.159301129,16.04130879
Bujeo,1,2040,-5.52654,36.072461,27.14518124,17.22523134
Bujeo,1,2041,-5.52654,36.072461,84.97548874,17.53889003
Bujeo,1,2042,-5.52654,36.072461,7.291126221,16.08390739
Bujeo,1,2043,-5.52654,36.072461,98.21252904,16.18837595
Bujeo,1,2044,-5.52654,36.072461,1.663969992,16.09407762
Bujeo,1,2045,-5.52654,36.072461,168.1033491,17.90340872
Bujeo,1,2046,-5.52654,36.072461,67.6809257,14.41448856
Bujeo,1,2047,-5.52654,36.072461,124.784941,17.23768744
Bujeo,1,2048,-5.52654,36.072461,47.83288685,15.70486726
Bujeo,1,2049,-5.52654,36.072461,40.85926167,16.66633143
Bujeo,1,2050,-5.52654,36.072461,55.46922596,17.40782786
Bujeo,1,2051,-5.52654,36.072461,20.9551938,14.76134742
Bujeo,1,2052,-5.52654,36.072461,91.5245869,18.60529923
Bujeo,1,2053,-5.52654,36.072461,27.58451333,18.34124342
Bujeo,1,2054,-5.52654,36.072461,86.17398614,17.86575199
Bujeo,1,2055,-5.52654,36.072461,67.22753179,18.80501807
Bujeo,1,2056,-5.52654,36.072461,33.15935757,13.41811031
Bujeo,1,2057,-5.52654,36.072461,121.7669887,18.10323191
Bujeo,1,2058,-5.52654,36.072461,0.633242751,16.18867916
Bujeo,1,2059,-5.52654,36.072461,140.9900707,18.07274682
Bujeo,1,2060,-5.52654,36.072461,30.22115126,16.76927116
Bujeo,1,2061,-5.52654,36.072461,104.0235026,15.35499504
Bujeo,1,2062,-5.52654,36.072461,49.29441073,19.59890137
