ID,site,transect,subQuadrat,quadratID,time,TSF,TSFcont,TSFcont_unscaled,size,sizeNext,size_unscaled,stage,stageNext,surv,fl,fs,fps,nbFlow,abLarge,abLarge_unscaled,summerT,summerT_unscaled,fallR,fallR_unscaled,winterR,winterR_unscaled,fallwinterR,fallwinterR_unscaled,prevwinterT,prevwinterT_unscaled,prevfallR,prevfallR_unscaled,prevwinterR,prevwinterR_unscaled
RO1.7.16,Retin,1,7,1_7,2016,>10,-1.390700933,20,0.398684461,NA,5.257495372,SR,NA,0,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.23,Retin,1,7,1_7,2016,>10,-1.390700933,20,0.145423281,4.510859507,4.49980967,SR,SR,1,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.25,Retin,1,7,1_7,2016,>10,-1.390700933,20,0.324966663,NA,5.036952602,SR,NA,0,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.36,Retin,1,7,1_7,2016,>10,-1.390700933,20,0.283419374,5.049856007,4.912654886,SR,SR,1,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.37,Retin,1,7,1_7,2016,>10,-1.390700933,20,0.470474448,NA,5.472270674,SR,NA,0,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.38,Retin,1,7,1_7,2016,>10,-1.390700933,20,0.268337587,NA,4.86753445,SR,NA,0,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.45,Retin,1,7,1_7,2016,>10,-1.390700933,20,0.534213707,5.393627546,5.66296048,J,SR,1,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.46,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.051048084,NA,3.912023005,J,NA,0,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.47,Retin,1,7,1_7,2016,>10,-1.390700933,20,0.218521513,NA,4.718498871,J,NA,0,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.52,Retin,1,7,1_7,2016,>10,-1.390700933,20,0.070836155,NA,4.276666119,SD,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.53,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.341015569,5.480638923,3.044522438,SD,J,1,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.54,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.453483516,NA,2.708050201,SD,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.55,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.296381866,NA,3.17805383,SD,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.56,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.019190061,NA,4.007333185,SD,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.57,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.341015569,NA,3.044522438,SD,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.58,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.051048084,NA,3.912023005,SD,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.59,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.296381866,4.882801923,3.17805383,SD,J,1,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.60,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.341015569,NA,3.044522438,SD,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.61,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.12563521,NA,3.688879454,SD,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.62,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.170268912,NA,3.555348061,SD,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.63,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.22179474,NA,3.401197382,SD,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.7.64,Retin,1,7,1_7,2016,>10,-1.390700933,20,-0.019190061,NA,4.007333185,SD,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.8.6,Retin,1,8,1_8,2016,>10,-1.390700933,20,0.041752059,4.682131227,4.189654742,SD,J,1,0,NA,NA,NA,-0.654309706,1,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.8.7,Retin,1,8,1_8,2016,>10,-1.390700933,20,-0.453483516,NA,2.708050201,SD,NA,0,0,NA,NA,NA,-0.654309706,1,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.8.8,Retin,1,8,1_8,2016,>10,-1.390700933,20,0.009894036,NA,4.094344562,SD,NA,0,0,NA,NA,NA,-0.654309706,1,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.8.9,Retin,1,8,1_8,2016,>10,-1.390700933,20,0.302524931,NA,4.9698133,J,NA,0,0,NA,NA,NA,-0.654309706,1,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.8.10,Retin,1,8,1_8,2016,>10,-1.390700933,20,-0.12563521,4.86753445,3.688879454,SD,J,1,0,NA,NA,NA,-0.654309706,1,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.9.6,Retin,1,9,1_9,2016,>10,-1.390700933,20,0.650637396,NA,6.011267174,LR,NA,0,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.9.22,Retin,1,9,1_9,2016,>10,-1.390700933,20,0.438054177,NA,5.375278408,SR,NA,0,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.9.26,Retin,1,9,1_9,2016,>10,-1.390700933,20,0.445703395,NA,5.398162702,SR,NA,0,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.9.28,Retin,1,9,1_9,2016,>10,-1.390700933,20,0.263155216,NA,4.852030264,SR,NA,0,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.9.31,Retin,1,9,1_9,2016,>10,-1.390700933,20,0.149116758,NA,4.510859507,SR,NA,0,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.9.39,Retin,1,9,1_9,2016,>10,-1.390700933,20,0.009894036,NA,4.094344562,J,NA,0,NA,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.9.40,Retin,1,9,1_9,2016,>10,-1.390700933,20,0.149116758,NA,4.510859507,J,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
RO1.9.41,Retin,1,9,1_9,2016,>10,-1.390700933,20,-0.357323986,NA,2.995732274,J,NA,0,0,NA,NA,NA,2.398577913,7,0.140019036,26.1729349,0.396123056,231.0000034,-0.268859987,172.1000026,0.26486913,546.3000081,0.566799285,17.84229252,-0.261258835,122.4000018,-0.505496047,156.6000023
