"site","transect","subQuadrat","ID","fireYear","size","sizeNext","fl","fs","fps","surv","sds","time","TSFcont","TSF","LS","stage","stageNext","abTot","abRepro","abLarge","size_unscaled","abLarge_unscaled","TSFcont_unscaled","quadratID","date","summerT_unscaled","summerT","fallR_unscaled","fallR","winterR_unscaled","winterR","fallwinterR_unscaled","fallwinterR","prevwinterT_unscaled","prevwinterT","prevfallR_unscaled","prevfallR","prevwinterR_unscaled","prevwinterR"
"Vertedero",1,4,"VY1.4.1",2009,0.690177617288139,6.45833828334479,1,1,5,1,NA,"2011",-1.19990668790692,"2","FD","LR","LR",1,1,-0.680682382240407,6.04025471127741,1,2,"1_4",2011-05-01,26.3532295184863,0.0745953652941834,203.100003026426,0.261069465551074,134.900002010167,-0.389730737621336,342.700005106628,-0.358058316901677,17.3400067168753,0.0479983222274244,242.800003618002,0.418931118725617,308.000004589558,0.218058657338213
"Vertedero",1,5,"VY1.5.1",2009,1.23854403212216,7.4121603349452,0,NA,NA,1,NA,"2011",-1.19990668790692,"2","FD","J","LR",1,0,-0.680682382240407,7.38398945797851,1,2,"1_5",2011-05-01,26.3532295184863,0.0745953652941834,203.100003026426,0.261069465551074,134.900002010167,-0.389730737621336,342.700005106628,-0.358058316901677,17.3400067168753,0.0479983222274244,242.800003618002,0.418931118725617,308.000004589558,0.218058657338213
"Vertedero",1,6,"VY1.6.1",2009,1.34070877380836,6.87316383421252,0,NA,NA,1,NA,"2011",-1.19990668790692,"2","FD","LR","LR",1,1,-0.680682382240407,7.63433723562832,1,2,"1_6",2011-05-01,26.3532295184863,0.0745953652941834,203.100003026426,0.261069465551074,134.900002010167,-0.389730737621336,342.700005106628,-0.358058316901677,17.3400067168753,0.0479983222274244,242.800003618002,0.418931118725617,308.000004589558,0.218058657338213
"Vertedero",1,7,"VY1.7.1",2009,0.983121767732584,7.15070145759253,1,2,4,1,NA,"2011",-1.19990668790692,"2","FD","LR","LR",7,4,4.04171605762409,6.75809450442773,7,2,"1_7",2011-05-01,26.3532295184863,0.0745953652941834,203.100003026426,0.261069465551074,134.900002010167,-0.389730737621336,342.700005106628,-0.358058316901677,17.3400067168753,0.0479983222274244,242.800003618002,0.418931118725617,308.000004589558,0.218058657338213
"Vertedero",1,7,"VY1.7.2",2009,0.642839473598849,5.92425579741453,0,NA,NA,1,NA,"2011",-1.19990668790692,"2","FD","LR","LR",7,4,4.04171605762409,5.92425579741453,7,2,"1_7",2011-05-01,26.3532295184863,0.0745953652941834,203.100003026426,0.261069465551074,134.900002010167,-0.389730737621336,342.700005106628,-0.358058316901677,17.3400067168753,0.0479983222274244,242.800003618002,0.418931118725617,308.000004589558,0.218058657338213
"Vertedero",1,7,"VY1.7.3",2009,0.766197657488052,6.65286302935335,0,NA,NA,1,NA,"2011",-1.19990668790692,"2","FD","J","LR",7,4,4.04171605762409,6.22653666928747,7,2,"1_7",2011-05-01,26.3532295184863,0.0745953652941834,203.100003026426,0.261069465551074,134.900002010167,-0.389730737621336,342.700005106628,-0.358058316901677,17.3400067168753,0.0479983222274244,242.800003618002,0.418931118725617,308.000004589558,0.218058657338213
"Vertedero",1,7,"VY1.7.4",2009,1.07560415155014,6.69703424766648,1,1,7,1,NA,"2011",-1.19990668790692,"2","FD","LR","LR",7,4,4.04171605762409,6.98471632011827,7,2,"1_7",2011-05-01,26.3532295184863,0.0745953652941834,203.100003026426,0.261069465551074,134.900002010167,-0.389730737621336,342.700005106628,-0.358058316901677,17.3400067168753,0.0479983222274244,242.800003618002,0.418931118725617,308.000004589558,0.218058657338213
"Vertedero",1,7,"VY1.7.5",2009,0.942802111957788,5.62040086571715,1,1,9,1,NA,"2011",-1.19990668790692,"2","FD","LR","LR",7,4,4.04171605762409,6.65929391968364,7,2,"1_7",2011-05-01,26.3532295184863,0.0745953652941834,203.100003026426,0.261069465551074,134.900002010167,-0.389730737621336,342.700005106628,-0.358058316901677,17.3400067168753,0.0479983222274244,242.800003618002,0.418931118725617,308.000004589558,0.218058657338213
"Vertedero",1,7,"VY1.7.6",2009,0.690177617288139,NA,0,NA,NA,0,NA,"2011",-1.19990668790692,"2","FD","J",NA,7,4,4.04171605762409,6.04025471127741,7,2,"1_7",2011-05-01,26.3532295184863,0.0745953652941834,203.100003026426,0.261069465551074,134.900002010167,-0.389730737621336,342.700005106628,-0.358058316901677,17.3400067168753,0.0479983222274244,242.800003618002,0.418931118725617,308.000004589558,0.218058657338213
"Vertedero",1,7,"VY1.7.7",2009,0.623855061493443,5.93489419561959,0,NA,NA,1,NA,"2011",-1.19990668790692,"2","FD","J","LR",7,4,4.04171605762409,5.87773578177964,7,2,"1_7",2011-05-01,26.3532295184863,0.0745953652941834,203.100003026426,0.261069465551074,134.900002010167,-0.389730737621336,342.700005106628,-0.358058316901677,17.3400067168753,0.0479983222274244,242.800003618002,0.418931118725617,308.000004589558,0.218058657338213
