vital_rate,population,value,sd
staySB,Retin,0.597826087,0.490603382
outSB,Retin,0.060945274,0.239378818
goCont,Retin,0.106597222,0.145702954
staySB,Prisioneros,0.597826087,0.490603382
outSB,Prisioneros,0.060945274,0.239378818
goCont,Prisioneros,0.287710623,0.279031352
staySB,Bujeo,0.597826087,0.490603382
outSB,Bujeo,0.060945274,0.239378818
goCont,Bujeo,0.159666455,0.200503195
staySB,MonteraTorero,0.597826087,0.490603382
outSB,MonteraTorero,0.060945274,0.239378818
goCont,MonteraTorero,0.176266789,0.199099533
staySB,SCarbDist,0.597826087,0.490603382
outSB,SCarbDist,0.060945274,0.239378818
goCont,SCarbDist,0.159666455,0.200503195
