TSF,vital_rate,value,sd
0,staySB,0.1,0.5
1,staySB,0.05,0.5
2,staySB,0.597826087,0.490603382
3,staySB,0.8453125,0.361700728
4,staySB,0.8453125,0.361700728
5,staySB,0.8453125,0.361700728
0,outSB,0.81,0.5
1,outSB,0.060945274,0.239378818
2,outSB,0.034700315,0.183115982
3,outSB,0.034700315,0.183115982
4,outSB,0.034700315,0.183115982
5,outSB,0,0
0,goCont,0,0
1,goCont,0,0
2,goCont,0.026123386,0.054416273
3,goCont,0.026123386,0.054416273
4,goCont,0.026123386,0.054416273
5,goCont,0.01,0
