"year","simulation","dormancy","source","population","pop_size","pop_size_repro","log_meanChangeAboveground","log_lambda"
2012,1,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,1,"Natural","Projected","SierraCarboneraY5",1382,11,0.578423974974268,-1.76312466277032
2014,1,"Natural","Projected","SierraCarboneraY5",808,383,-0.53672494580652,3.19867311755068
2015,1,"Natural","Projected","SierraCarboneraY5",503,184,-0.473971888421356,0.216922277958396
2016,1,"Natural","Projected","SierraCarboneraY5",569,56,0.123290264026592,0.120048364091243
2017,1,"Natural","Projected","SierraCarboneraY5",151,35,-1.32660059731141,-0.170645686109989
2018,1,"Natural","Projected","SierraCarboneraY5",93,60,-0.484680343661668,-0.104241074970446
2019,1,"Natural","Projected","SierraCarboneraY5",65,33,-0.358212223257619,-0.128255209512419
2020,1,"Natural","Projected","SierraCarboneraY5",24,10,-0.996333439547691,-0.138204527274588
2021,1,"Natural","Projected","SierraCarboneraY5",7,5,-1.23214368129263,-0.173478983888595
2022,1,"Natural","Projected","SierraCarboneraY5",2,2,-1.25276296849537,-0.164859137426422
2012,2,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,2,"Natural","Projected","SierraCarboneraY5",1416,16,0.602728244900318,-1.75182510751639
2014,2,"Natural","Projected","SierraCarboneraY5",806,383,-0.563507531747037,3.24527651342034
2015,2,"Natural","Projected","SierraCarboneraY5",510,154,-0.457673016788257,0.12378893490108
2016,2,"Natural","Projected","SierraCarboneraY5",591,58,0.147405291687727,0.117125938833784
2017,2,"Natural","Projected","SierraCarboneraY5",138,39,-1.45456233224889,-0.173436436595856
2018,2,"Natural","Projected","SierraCarboneraY5",99,63,-0.332133835022615,-0.0909940459531224
2019,2,"Natural","Projected","SierraCarboneraY5",52,29,-0.643876131553162,-0.128483487728924
2020,2,"Natural","Projected","SierraCarboneraY5",28,6,-0.619039208406224,-0.120629232197331
2021,2,"Natural","Projected","SierraCarboneraY5",9,4,-1.13497993283898,-0.169822992440209
2022,2,"Natural","Projected","SierraCarboneraY5",4,2,-0.810930216216329,-0.161629967635976
2012,3,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,3,"Natural","Projected","SierraCarboneraY5",1397,8,0.589219329903615,-1.75772799559816
2014,3,"Natural","Projected","SierraCarboneraY5",808,375,-0.547520300735866,3.15438610053072
2015,3,"Natural","Projected","SierraCarboneraY5",522,147,-0.436894470638457,0.190500984711644
2016,3,"Natural","Projected","SierraCarboneraY5",594,58,0.129211731480006,0.172856670903313
2017,3,"Natural","Projected","SierraCarboneraY5",185,42,-1.16652349428432,-0.15280771060013
2018,3,"Natural","Projected","SierraCarboneraY5",113,69,-0.492968006365984,-0.0911888358353793
2019,3,"Natural","Projected","SierraCarboneraY5",85,45,-0.284736562222024,-0.0827704242403882
2020,3,"Natural","Projected","SierraCarboneraY5",40,10,-0.75377180237638,-0.0930591069410667
2021,3,"Natural","Projected","SierraCarboneraY5",11,6,-1.29098418131557,-0.167772196920605
2022,3,"Natural","Projected","SierraCarboneraY5",6,6,-0.606135803570316,-0.157960500710192
2012,4,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,4,"Natural","Projected","SierraCarboneraY5",1356,10,0.559431439146994,-1.76258368358482
2014,4,"Natural","Projected","SierraCarboneraY5",782,369,-0.55043972795503,3.14315403717355
2015,4,"Natural","Projected","SierraCarboneraY5",446,152,-0.561535788525247,0.22566987629763
2016,4,"Natural","Projected","SierraCarboneraY5",599,52,0.294942646095385,0.107637124495418
2017,4,"Natural","Projected","SierraCarboneraY5",159,28,-1.32635739589522,-0.166265481232822
2018,4,"Natural","Projected","SierraCarboneraY5",110,66,-0.368423836427815,-0.0864209877552491
2019,4,"Natural","Projected","SierraCarboneraY5",90,35,-0.200670695462151,-0.0840098505246819
2020,4,"Natural","Projected","SierraCarboneraY5",47,9,-0.649662068620206,-0.0864729937648183
2021,4,"Natural","Projected","SierraCarboneraY5",14,5,-1.2110902720948,-0.166441574116492
2022,4,"Natural","Projected","SierraCarboneraY5",5,5,-1.02961941718116,-0.164338588525417
2012,5,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,5,"Natural","Projected","SierraCarboneraY5",1341,16,0.548307853928331,-1.76909482975682
2014,5,"Natural","Projected","SierraCarboneraY5",796,378,-0.521571697437295,3.18307657897841
2015,5,"Natural","Projected","SierraCarboneraY5",441,140,-0.590554310397537,0.299092687850982
2016,5,"Natural","Projected","SierraCarboneraY5",607,56,0.319483915612652,0.118039593213132
2017,5,"Natural","Projected","SierraCarboneraY5",158,35,-1.34593375803253,-0.170603729532533
2018,5,"Natural","Projected","SierraCarboneraY5",97,57,-0.487884054523584,-0.104130580289812
2019,5,"Natural","Projected","SierraCarboneraY5",66,32,-0.385056236476957,-0.107012528975398
2020,5,"Natural","Projected","SierraCarboneraY5",20,4,-1.19392246847243,-0.130095486232472
2021,5,"Natural","Projected","SierraCarboneraY5",7,3,-1.04982212449868,-0.167408256620736
2022,5,"Natural","Projected","SierraCarboneraY5",4,3,-0.559615787935423,-0.16798779652885
2012,6,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,6,"Natural","Projected","SierraCarboneraY5",1363,15,0.564580402343186,-1.75450391972641
2014,6,"Natural","Projected","SierraCarboneraY5",792,374,-0.542882039882107,3.26970763939974
2015,6,"Natural","Projected","SierraCarboneraY5",505,157,-0.450002962539066,0.127080895935955
2016,6,"Natural","Projected","SierraCarboneraY5",610,69,0.188900527891997,0.132691330131975
2017,6,"Natural","Projected","SierraCarboneraY5",172,51,-1.2659644803539,-0.175218145452275
2018,6,"Natural","Projected","SierraCarboneraY5",121,59,-0.351703931216712,-0.0716054402391957
2019,6,"Natural","Projected","SierraCarboneraY5",89,41,-0.307154175864601,-0.117221977833842
2020,6,"Natural","Projected","SierraCarboneraY5",23,4,-1.35314215380299,-0.12068197035226
2021,6,"Natural","Projected","SierraCarboneraY5",7,2,-1.18958406687384,-0.167158575323538
2022,6,"Natural","Projected","SierraCarboneraY5",3,2,-0.847297860387204,-0.16968662691508
2012,7,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,7,"Natural","Projected","SierraCarboneraY5",1349,7,0.554255826854409,-1.79613095923849
2014,7,"Natural","Projected","SierraCarboneraY5",779,376,-0.549107810337008,3.26161812207748
2015,7,"Natural","Projected","SierraCarboneraY5",478,140,-0.488400313379292,0.258852608482617
2016,7,"Natural","Projected","SierraCarboneraY5",607,64,0.238918058568042,0.115126522188141
2017,7,"Natural","Projected","SierraCarboneraY5",155,41,-1.36510367414025,-0.172468913355593
2018,7,"Natural","Projected","SierraCarboneraY5",109,70,-0.352077234690103,-0.0932130934246262
2019,7,"Natural","Projected","SierraCarboneraY5",72,42,-0.414681763213088,-0.108640147648297
2020,7,"Natural","Projected","SierraCarboneraY5",33,6,-0.780158557549575,-0.0995024183885045
2021,7,"Natural","Projected","SierraCarboneraY5",10,3,-1.19392246847243,-0.159545881577647
2022,7,"Natural","Projected","SierraCarboneraY5",7,3,-0.356674943938732,-0.161867054435378
2012,8,"Natural","Projected","SierraCarboneraY5",775,NA,NA,NA
2013,8,"Natural","Projected","SierraCarboneraY5",1389,18,0.583476313400997,-1.75826635361924
2014,8,"Natural","Projected","SierraCarboneraY5",804,382,-0.546740073575377,3.21473154645078
2015,8,"Natural","Projected","SierraCarboneraY5",472,140,-0.532620283593411,0.220106478085169
2016,8,"Natural","Projected","SierraCarboneraY5",614,58,0.263015942561587,0.0539046070174178
2017,8,"Natural","Projected","SierraCarboneraY5",143,34,-1.45715029788724,-0.176016545521888
2018,8,"Natural","Projected","SierraCarboneraY5",106,52,-0.29940553614784,-0.0883939836638861
2019,8,"Natural","Projected","SierraCarboneraY5",88,36,-0.186102279633861,-0.101253382509994
